ID,Название,Категории,Индекс,Страна,Регион,Район,Город,Улица,Дом,Полный адрес,Мобильные,Немобильные,Сайт,График,Широта,Долгота,ID сети,Сеть,ID,Название,Категории,Индекс,Страна
136661286966,Центр прототипирования Зеленоград,3D-печать | новые технологии,124527,Россия,Москва,,Зеленоград,Солнечная аллея,6,"Россия, Москва, Зеленоград, Солнечная аллея, 6",,"+7 (495) 989-10-44,+7 (495) 989-10-34",http://skat3d.ru/,"пн-пт 9:00–18:00, перерыв 13:00–14:00",55.982598,37.202991,,,Оплата картой,,https://yandex.ru/maps/org/tsentr_prototipirovaniya_zelenograd/136661286966,http://skat3d.ru/,+7 (495) 989-10-44 | +7 (495) 989-10-34
191461154574,Аквапринт,Окрасочное оборудование | 3D-печать | нанесение покрытий,141602,Россия,Московская область,,Клин,Железнодорожная улица, 2А,"Россия, Московская область, Клин, Железнодорожная улица, 2А","+7 (905) 761-71-18,+7 (968) 022-35-57",,http://aquaklintech.ru/,"ежедневно, 9:00–20:00",56.363174,36.685238,,,,,https://yandex.ru/maps/org/akvaprint/191461154574,http://aquaklintech.ru/,+7 (905) 761-71-18 | +7 (968) 022-35-57
72707580258,Ам-кор,3D-печать | промышленное оборудование,123308,Россия,,,Москва,проспект Маршала Жукова," 1, стр. 1","Россия, Москва, проспект Маршала Жукова, 1, стр. 1",,+7 (499) 678-12-35,https://www.am-core.ru/,пн-пт 10:00–18:00,55.775094,37.506523,,,,http://www.facebook.com/AMcore3Dprinters | https://vk.com/public172573928 | https://www.youtube.com/channel/UCwL_gmZzgL4BPV-1MgbVZ8w,https://yandex.ru/maps/org/am_kor/72707580258,https://www.am-core.ru/,+7 (499) 678-12-35
1440396517,Пластмания,3D-печать,125371,Россия,,,Москва,Волоколамское шоссе,97,"Россия, Москва, Волоколамское шоссе, 97",+7 (926) 967-39-22,+7 (495) 491-49-10,http://plastmania.ru/,"пн-пт 9:00–18:00, перерыв 13:00–14:00",55.83107,37.40066,,,,http://vk.com/plastmania,https://yandex.ru/maps/org/plastmaniya/1440396517,http://plastmania.ru/,+7 (495) 491-49-10 | +7 (926) 967-39-22
234980642192,Ника-рус,3D-печать,127238,Россия,,,Москва,Локомотивный проезд,19,"Россия, Москва, Локомотивный проезд, 19",,"+7 (495) 132-53-02,+7 (495) 740-11-08,+7 (495) 740-11-09",http://www.nikarus.com/,,55.844238,37.573842,,,,,https://yandex.ru/maps/org/nika_rus/234980642192,http://www.nikarus.com/,+7 (495) 132-53-02 | +7 (495) 740-11-08 | +7 (495) 740-11-09
245462052467,DDM.lab,3D-печать,143401,Россия,Московская область,,Красногорск,бульвар Строителей,4,"Россия, Московская область, Красногорск, бульвар Строителей, 4",,+7 (495) 960-05-53,https://ddmlab.ru/,пн-пт 9:00–18:00,55.814462,37.385412,,,,,https://yandex.ru/maps/org/ddm_lab/245462052467,https://ddmlab.ru/,+7 (495) 960-05-53
61075510528,3DProsto.net,3D-печать,127018,Россия,,,Москва,улица Сущёвский Вал," 5, стр. 1А","Россия, Москва, улица Сущёвский Вал, 5, стр. 1А",,8 (800) 222-08-44,http://3dprosto.net/,"ежедневно, 10:00–21:00",55.794143,37.592824,,,,,https://yandex.ru/maps/org/3dprosto_net/61075510528,http://3dprosto.net/,8 (800) 222-08-44
150364548758,3d Universe,3D-печать,141100,Россия,Московская область,,Щёлково,Талсинская улица,1,"Россия, Московская область, Щёлково, Талсинская улица, 1",+7 (977) 328-30-06,,,"ежедневно, 10:00–22:00",55.92482,37.996895,,,,https://vk.com/3d_universe,https://yandex.ru/maps/org/3d_universe/150364548758,,+7 (977) 328-30-06
199517722435,Art-Lazer,Лазерная резка и гравировка | гравёрные работы | 3D-печать | наружная реклама | изготовление вывесок | рекламная продукция,,Россия,Московская область,Пушкинский район,рабочий посёлок Правдинский,улица Лермонтова, 4А,"Россия, Московская область, Пушкинский район, рабочий посёлок Правдинский, улица Лермонтова, 4А",+7 (926) 414-98-10,,http://www.art-lazer.ru/,пн-сб 9:00–18:00,56.058755,37.86257,,,,,https://yandex.ru/maps/org/art_lazer/199517722435,http://www.art-lazer.ru/,+7 (926) 414-98-10
54243812300,Роботмаш,3D-печать | новые технологии,141071,Россия,Московская область,,Королёв,Трудовая улица,1,"Россия, Московская область, Королёв, Трудовая улица, 1",,+7 (495) 540-53-61,http://robotmash.ru/,пн-пт 9:00–18:00,55.927392,37.812776,,,,,https://yandex.ru/maps/org/robotmash/54243812300,http://robotmash.ru/,+7 (495) 540-53-61
1705524794,3d Дмитров,3D-печать,141800,Россия,Московская область,Дмитровский городской округ,Дмитров,Загорская улица, 32А,"Россия, Московская область, Дмитровский городской округ, Дмитров, Загорская улица, 32А",+7 (926) 000-99-67,,http://3d-dmitrov.ru/,"ежедневно, 10:00–18:00",56.342064,37.519745,,,,http://vk.com/3dmitrov,https://yandex.ru/maps/org/3d_dmitrov/1705524794,http://3d-dmitrov.ru/,+7 (926) 000-99-67
1675400756,Positiff,Копировальный центр | фотоуслуги | полиграфические услуги,141301,Россия,Московская область,,Сергиев Посад,проспект Красной Армии, 186/2,"Россия, Московская область, Сергиев Посад, проспект Красной Армии, 186/2",+7 (926) 936-66-50,,http://positiff-sp.ru/,пн-пт 8:00–17:00; сб 11:00–16:00,56.317103,38.138919,,,"Фотопечать | Препресс и послепечатная обработка(переплет,вёрстка,дизайн,разработка фирменного стиля,ламинирование) | Фото на документы | Способ печати(широкоформатная печать,цифровая печать,офсетная листовая печать,копирование) | Фотосалон | Продукция(часы,текстиль,диски CD\/DVD,этикетки,открытки,наклейки,листовки,календари,дипломы, грамоты,визитки,блокноты) | Срочная печать | Wi-Fi | Обработка фото | Широкоформатная печать | Печать через интернет",https://ok.ru/group/58063604744230 | https://vk.com/foto_positiff,https://yandex.ru/maps/org/positiff/1675400756,http://positiff-sp.ru/,+7 (926) 936-66-50
1699777083,3d-печать 3Dcrafter.ru,3D-печать | студия дизайна,107140,Россия,,,Москва,Комсомольская площадь, 3/30с4,"Россия, Москва, Комсомольская площадь, 3/30с4",,+7 (495) 004-41-87,https://3dcrafter.ru/,"ежедневно, круглосуточно",55.781772,37.652445,,,Оплата картой,https://twitter.com/3Dcrafter | https://vk.com/3dcrafter | https://www.facebook.com/3Dcrafter.ru | https://www.instagram.com/3dcrafter,https://yandex.ru/maps/org/3d_pechat_3dcrafter_ru/1699777083,https://3dcrafter.ru/,+7 (495) 004-41-87
206472001053,Igo3D Russia,3D-печать | расходные материалы для оргтехники | оргтехника,109380,Россия,,,Москва,Ставропольская улица," 84, стр. 1","Россия, Москва, Ставропольская улица, 84с1",,"8 (800) 234-20-30,+7 (495) 232-03-22",http://igo3d.ru/,пн-пт 10:00–19:00,55.672047,37.804548,,,"Способ оплаты(дисконтная система скидок,предоплата,оплата картой,электронными деньгами,банковским переводом)",http://instagram.com/igo3d_russia | http://vk.com/igo3dru | https://youtube.com/user/igo3drussia,https://yandex.ru/maps/org/igo3d_russia/206472001053,http://igo3d.ru/,8 (800) 234-20-30 | +7 (495) 232-03-22
1354687161,Салитекс,Широкоформатная печать | 3D-печать | полиграфические услуги,140015,Россия,Московская область,,Люберцы,Инициативная улица, 36Б,"Россия, Московская область, Люберцы, Инициативная улица, 36Б",,+7 (495) 620-09-09,https://saliteks.ru/,пн-пт 9:00–18:00; сб 10:00–16:00,55.680542,37.905593,,,"Срочная печать | Препресс и послепечатная обработка(лазерная резка и гравировка,дизайн) | Продукция(текстиль,наклейки) | Способ печати(широкоформатная печать,цифровая печать)",,https://yandex.ru/maps/org/saliteks/1354687161,https://saliteks.ru/,+7 (495) 620-09-09
